,Rating,Id,Date,views,like,Title,Text
2251,5,parkjh9***예매자,2020.08.10,조회 16,공감 1공감하기,추천,재미있었고 프리뷰였지만 로딩이 다 되어서 온 배우들 덕분에 너무 행복하게 보고 왔어요
2252,2,onse***예매자,2020.08.10,조회 43,공감 0공감하기,함성유도는 자제요망,요즘 같은때에 공연중 함성유도는 좀 그런거같네요 배우들 숨돌릴시간이 필요한건지는 모르겠지만 일부러 함성유도하는듯한 마는 빼주시길
2253,5,super***예매자,2020.08.10,조회 15,공감 0공감하기,썸씽로튼,썸씽로튼서경수 진짜  너무 웃긴다 셰익스피어극 자체는 서사 없음 억지 웃음 노잼서경수는 웃김
2254,5,tempori***예매자,2020.08.10,조회 17,공감 1공감하기,수진포샤 너무 귀여워요,잘하고 귀여움
2255,5,rioruci***예매자,2020.08.10,조회 16,공감 1공감하기,뮤우지컬,뮤우지컬의 매력윌오빠의 윌파워
2256,5,gimda***예매자,2020.08.10,조회 14,공감 1공감하기,잘봤어요,잘봤어요
2257,5,minjy1***예매자,2020.08.10,조회 13,공감 1공감하기,재밌어요,편한 마음으로 웃으면서 봤어요 캐릭터들도 매력 넘쳐요
2258,5,gimda***예매자,2020.08.10,조회 14,공감 1공감하기,잘봤어요,너무 재밌었습니다
2259,3,nana***예매자,2020.08.09,조회 49,공감 1공감하기,너무추워요라이브 후기,에어컨 좀줄여주세요 추워서 집중잘못했어요
2260,5,die***예매자,2020.08.09,조회 27,공감 1공감하기,재밌고 웃겨요,잘봤습니다
2261,5,dlz***예매자,2020.08.09,조회 26,공감 1공감하기,즐거웠습니다,평소 공연을 보는 사람들에게는 선물같은 뮤지컬이고모른다 하더라도 나름 잼나게 볼 수 있습니다흥겨움이 끊이질 않아 언제 시간이 다 갔는지도 모르고 관람했습니다강력 추천 합니다
2262,4,nana***예매자,2020.08.09,조회 37,공감 1공감하기,보는내내 행복했어요라이브 후기,서경수님 처음알게됐는데 너무매력적이네요 이지훈님은 좀 실망햇어요노래가정말좋아요
