,index,Rating,Id,Date,views,like,Title,Text
153,153,5,soons***,2020.08.24,조회 5,"공감 0
공감하기",렌트,코로나로 인한 조기폐막으로 보질 못했는데관람후기 작성하라는 메일이 오니 눈물이 나네요좋은 시기에 또 다시 만나요내 사랑 렌트
154,154,5,soons***예매자,2020.08.24,조회 6,"공감 0
공감하기",렌트,전체 막공보다 하루 먼저 막공을 하게되었지만2020 렌트가 우리에게 남겨준 메세지는 오래도록 함께 할 것 같아요사랑은 살 순 없지만 빌릴 수 있다세상 모든 건 빌려 쓰는 것이다오직 오늘 뿐마스크 쓰지 않고 음메-를 외칠 수 있는 안전한 시기에렌트 꼭 다시 만나고 싶습니다
155,155,5,soons***예매자,2020.08.24,조회 6,"공감 0
공감하기",렌트,로저와 미미가 주인공이지만렌트는 정말 모든 인물이 주연이라는 느낌이 들 정도로탄탄하고 구성이 좋은 뮤지컬이었어요세상 모든 건 빌려쓰는 거라는 렌트의 모토가 잘 와 닿는 요즘입니다
156,156,5,soons***예매자,2020.08.24,조회 6,"공감 0
공감하기",렌트,전기 나갔어 부터 시작해서배우들의 에너지에 압도당하는 기분이었어요그 시대 청춘들의 이야기가아직도 울림을 준다는 건정말 대단한 일입니다사랑을 나눠줘서 고마운 뮤지컬 렌트
157,157,5,soons***예매자,2020.08.24,조회 6,"공감 0
공감하기",렌트,예전에 만들어진 뮤지컬이지금도 이렇게 감동을 주고많은 이들의 공감을 받는다는 건정말 대단한 일이라 생각합니다렌트2020 여름을 함께 해줘서 감사했습니다
158,158,5,soons***예매자,2020.08.24,조회 7,"공감 0
공감하기",렌트,힘든 시대를 살아가는 우리들에게큰 감동을 준 렌트다음에 꼭 또 다시 만나요
159,159,5,kinkikid***,2020.08.24,조회 8,"공감 0
공감하기",모든 배우들 사랑했습니다,총막을 이렇게 보내 버려서너무 마음이 아프지만다시 만날수있을거라 생각하며크리스마스때 다시봐요 
160,160,5,kinkikid***예매자,2020.08.24,조회 8,"공감 0
공감하기",내 사랑 렌트,다시봐 꼭 봐 이시국에 정말 많은걸 느끼고 깨닫게해준 작품
161,161,5,solha***예매자,2020.08.24,조회 6,"공감 0
공감하기",말을 할까 말을 할까,52만오천육백분의 귀한 시간들
162,162,5,shinhwa***예매자,2020.08.24,조회 3,"공감 0
공감하기",렌트해서 행복했어요!!!!,렌트해서 행복했던 8월의 나이제 기다림의 시작이겠지만 괜찮아요혹시나 신시도 렌트가 그리우면그렇다면 12월 크리스마스에 특공 어때요
