,index,Rating,Id,Date,views,like,Title,Text
135,135,5,shs8***예매자,2020.10.26,조회 5,"공감 0
공감하기",강필석,강필석 짱 천재 만재
136,136,4,yuri***예매자,2020.10.26,조회 5,"공감 0
공감하기",좋은공연이었습니다,초반 예매된 회차 취소 후 기회가 없다가 겨우 시간을 맞춰 관람했는데 너무 재미있네요 꼭 머지않아 다시 돌아오길 바랍니다
137,137,5,ddw9***예매자,2020.10.26,조회 2,"공감 0
공감하기",재밌어요,재연이 금방 왔으면 좋겠습니다
138,138,5,winni***예매자,2020.10.26,조회 3,"공감 0
공감하기",대바아아악,역시 두번째는 두번째 관람 매직의 효과가 첫번째 관람 하고나서 이것저것 찾아보고 원어 대본 읽어보고 봤더니 + 나랑 맞는 배우들로 봤더니 역시 더 잘 들리고 + 더 재밌었다
139,139,4,winni***예매자,2020.10.26,조회 9,"공감 0
공감하기",재밌었지만...,내한 보고 라센 이번에 보는 거였는데 역시는 역시 재밌고 신났다 하지만 역사적인 문화적인 배경의 차이를 100퍼센트 극복하기는 참 어렵구나 하는 걸 다시 한 번 느꼈다 넘나 아쉽
140,140,5,hyoum***예매자,2020.10.26,조회 3,"공감 0
공감하기",유쾌한 뮤지컬의 집합체,다양한 뮤지컬작품들과 셰익스피어 작품의 패러디 앙상블의 화려한 춤 등 뮤지컬의 집합체를 보는듯한 느낌이었습니다특히 자칫하면 과해보일 수도 있는 셰익스피어와 노스트라다무스 역할을 박건형 마이클리 배우가 찰떡으로 소화해서 유쾌하게 관람했던 것 같네요
141,141,5,jonge***예매자,2020.10.26,조회 2,"공감 0
공감하기",너무 재밌었어요,굿굿굿
142,142,4,so02***예매자,2020.10.26,조회 3,"공감 0
공감하기",유쾌한 극,여러 뮤지컬들을 알고 보면 더 재밌을 거 같아요
143,143,5,musical7***예매자,2020.10.26,조회 2,"공감 0
공감하기",너무 재밌었어요,너무 재밌었어요너무 재밌었어요너무 재밌었어요너무 재밌었어요너무 재밌었어요너무 재밌었어요너무 재밌었어요너무 재밌었어요너무 재밌었어요
144,144,5,kyk9***예매자,2020.10.26,조회 2,"공감 0
공감하기",유쾌 그 자체 힐링극,기분 안 좋은 날 가서 제대로 전환하고 왔어요유쾌한 시나리오와 다채로운 무대연출 좋은 넘버까지 정말 최고입니다 꼭 다시 돌아오기로 약속해주세요 벌써 그리워요
145,145,5,humani***예매자,2020.10.26,조회 3,"공감 0
공감하기",좋은 날에 꼭 다시 만나야 해요,보는 내내 행복했던 뮤지컬마스크 벗고 따라 부를 수 있는 날재연을 기다립니다 목 빠지게
149,149,5,humani***예매자,2020.10.26,조회 3,"공감 0
공감하기",좋은 날에 만나 다시 꼭,보는 내내 행복했던 뮤지컬마스크 벗고 따라 부를 수 있는 날재연을 기다립니다 목 빠지게
165,165,5,cree***예매자,2020.10.26,조회 4,"공감 0
공감하기",서경수배우는 셰익스피어 그자체다,사랑해요 윌
167,167,5,cree***예매자,2020.10.26,조회 3,"공감 0
공감하기",서경수는 셰익스피어 그자체다,사랑해요 윌
168,168,5,rkddo***예매자,2020.10.26,조회 3,"공감 0
공감하기",너무너무너무 재밌게 관극 했어요~~,뮤덕을 위한 뮤지컬이랄까요 재연하면 다시 보고싶어요 넘 재밌었습니다
