,rating,id,date,views,like,title,text
1312,4,app1em***예매자,2018.11.15,조회 4,"공감 0
공감하기",좋은작품입니다,기간이 짧아서 아쉽네요
1313,5,akari0***예매자,2018.11.15,조회 3,"공감 0
공감하기",공연 더해주세요 재연빨리주세요,또보고싶어요 제발
1314,5,tmdwl***예매자,2018.11.15,조회 3,"공감 0
공감하기",베르나르다 알바 최고,정말 최고였어요 재연 제발 빨리와요 전부 매진이라 한번밖에 못본게 제 슬픔
1315,4,dducc***예매자,2018.11.15,조회 4,"공감 0
공감하기",압도되는 작품,되도록 빨리 다시 보고 싶은 작품입니다
1316,5,mel***예매자,2018.11.15,조회 4,"공감 0
공감하기",최고의 뮤지컬,정말 인생 뮤지컬이였습니다캐릭터 연출 음악 배우들까지 뭐하나 빠질 것 없습니다다시 한번 더 보고싶네요
1317,5,emily0***예매자,2018.11.15,조회 2,"공감 0
공감하기",최고에요,플라맹고부터 모든 순간들이 너무 최고였구요배우들 노래 시선처리 움직임 진짜 멋있었어요
1318,5,pandemon***예매자,2018.11.15,조회 5,"공감 0
공감하기",연장공연 아니 오픈런 필요합니다,완 벽 그 자 체또 안 돌아오나요
1319,5,9001ash***예매자,2018.11.14,조회 4,"공감 0
공감하기",베르나르다 알바,다소 낯선 음악이었지만 아주 매력적이었습니다열 분의 배우님 모두 최고였어요
1320,5,allypark1***예매자,2018.11.14,조회 14,"공감 0
공감하기",최고의작품,오픈런해주세요 제발 트리플 캐슷으로 여배 30명 모아서요
1321,5,tlehf***예매자,2018.11.14,조회 8,"공감 0
공감하기",올해 최고의 뮤지컬,단언컨대 올해 봤던 뮤지컬 중 제일 최고라고 말할 수 있습니다정말 너무 멋졌어요
1322,5,uji***예매자,2018.11.14,조회 4,"공감 0
공감하기",꼭 다시 와주세요,재연 올라오기를 기다립니다
1323,5,30blue***예매자,2018.11.14,조회 7,"공감 0
공감하기",강렬한 기억으로 남는 공연,너무나도 기대 많이 했던 공연이고 공연장이 작아 예매하기가 너무 힘들었습니다그래서 가장 사이드 자리에서 봤는데도전혀 지루하지 않고 배우님들의 열정 가득한 연기에 감탄하고 왔습니다꼭 다시 볼 기회가 있었으면 좋겠어요
1324,5,emily9***예매자,2018.11.14,조회 4,"공감 0
공감하기",긴장감이 좋았어요,시작부터 강렬하게 단체로 춤을 추며 끝까지 긴장감을 놓칠 수 없게만드는 그 대사와 분위기가 좋았어요
1325,5,dnjs8***예매자,2018.11.14,조회 6,"공감 0
공감하기",최고의 뮤지컬이었어요,아는 배우분들이 많았는데 그 배우들이 그런 음역대를 가진 배우인 것은 처음 알았네요 그런 배역을 연기할 수 있다는 것도요 여성인 배우님들이 연기할 수 있는 배역이 더 많았으면 좋겠네요
1326,5,SHOu***예매자,2018.11.14,조회 3,"공감 0
공감하기",꼭 다시 돌아오길 바라며,재연을 기다리며 하루하루를 살겠습니다
1327,5,apple9***예매자,2018.11.14,조회 5,"공감 0
공감하기",재연제발, 믿어요
1328,5,nautral***예매자,2018.11.14,조회 7,"공감 0
공감하기",우란님 재연 올려주세요,너무 사랑하는 공연이고너무 사랑하는 공연인데어째서 공연기간은 이렇게 짧은 것이며어째서 왜 재연 예정은 없는 것이고어째서 왜 이렇게 좋은 배우들이 이렇게 좋은 극에서 이렇게 좋아하는 모습을제 눈으로 딱 두 번 보고 보내야 하는 것일까요왜 도 도 예정에는 없는 것일까요저는 정말 궁금합니다베르나르다 알바는 정말 좋은 뮤지컬이었고수익성이 타진이 안된다고 하면꼭 우란님이 재연을 올려주셨으면 좋겠어요아 정말 좋은 공연이었는데하지만 이렇게라도 볼 수 있어서 너무 행복했습니다다음에 꼭 다시 뵈어요 배우님들사랑합니다 베르나르다 알바
1329,5,lue***예매자,2018.11.13,조회 7,"공감 0
공감하기",베르나르다 알바,최고최고 다음에 올라올땐 더블트리플캐슷으로 한 두세달 해주세요 도 내주세요이번시즌 배우들은 당연히 데려와주시구사랑해요
1330,5,1asu***예매자,2018.11.13,조회 8,"공감 0
공감하기",할 말을 잃은 극,정말 굉장한 파워를 지닌 극입니다뭐라고 형용할 수가 없어요
1331,5,1asu***예매자,2018.11.13,조회 5,"공감 0
공감하기",최고예요,올해뿐 아니라 살면서 본 극 중 손에 꼽히게 좋았던 극
